al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.3906E+06,1.3707E+06,2.6029E+03,1.7298E+04
1.0000E-01,7.4842E+05,7.3826E+05,1.5539E+03,8.6071E+03
2.0000E-01,3.3460E+05,3.2943E+05,8.2585E+02,4.3489E+03
3.0000E-01,1.8642E+05,1.8287E+05,5.2968E+02,3.0266E+03
4.0000E-01,1.1932E+05,1.1652E+05,3.7747E+02,2.4273E+03
5.0000E-01,8.3481E+04,8.1115E+04,2.9055E+02,2.0760E+03
6.0000E-01,6.2548E+04,6.0480E+04,2.3623E+02,1.8321E+03
8.0000E-01,4.0924E+04,3.9235E+04,1.7290E+02,1.5168E+03
1.0000E+00,2.9866E+04,2.8405E+04,1.3757E+02,1.3230E+03
1.5000E+00,1.6627E+04,1.5457E+04,9.1424E+01,1.0778E+03
2.0000E+00,1.0487E+04,9.4643E+03,6.7781E+01,9.5451E+02
2.5000E+00,6.9360E+03,6.0116E+03,5.3292E+01,8.7118E+02
3.0000E+00,4.7128E+03,3.8570E+03,4.3831E+01,8.1196E+02
4.0000E+00,2.4017E+03,1.6326E+03,3.2412E+01,7.3677E+02
5.0000E+00,1.3833E+03,6.7652E+02,2.5785E+01,6.8101E+02
6.0000E+00,9.3117E+02,2.6551E+02,2.1573E+01,6.4409E+02
7.0000E+00,7.2998E+02,9.9868E+01,1.8672E+01,6.1144E+02
8.0000E+00,6.3721E+02,3.5472E+01,1.6559E+01,5.8518E+02
9.0000E+00,5.8837E+02,1.1910E+01,1.4994E+01,5.6147E+02
1.0000E+01,5.5780E+02,3.7677E+00,1.3784E+01,5.4024E+02
1.2000E+01,5.2080E+02,2.8732E-01,1.2010E+01,5.0850E+02
1.4000E+01,4.8370E+02,7.0839E-03,1.0780E+01,4.7291E+02
1.6000E+01,4.5536E+02,5.4417E-05,9.8514E+00,4.4551E+02
1.8000E+01,4.2749E+02,5.8020E-07,9.0751E+00,4.1841E+02
2.0000E+01,4.0345E+02,0.0000E+00,8.4190E+00,3.9503E+02
