al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,2.0520E+06,2.0186E+06,3.7842E+03,2.9646E+04
1.0000E-01,1.0705E+06,1.0522E+06,2.1465E+03,1.6117E+04
2.0000E-01,4.1491E+05,4.0521E+05,1.0135E+03,8.6810E+03
3.0000E-01,1.9045E+05,1.8372E+05,5.7098E+02,6.1550E+03
4.0000E-01,9.8229E+04,9.2907E+04,3.6160E+02,4.9605E+03
5.0000E-01,5.5074E+04,5.0581E+04,2.5133E+02,4.2417E+03
6.0000E-01,3.3760E+04,2.9831E+04,1.8794E+02,3.7410E+03
8.0000E-01,1.7181E+04,1.3965E+04,1.2280E+02,3.0936E+03
1.0000E+00,1.1223E+04,8.4374E+03,9.1756E+01,2.6937E+03
1.5000E+00,5.9585E+03,3.7176E+03,5.8386E+01,2.1826E+03
2.0000E+00,4.1398E+03,2.1731E+03,4.3770E+01,1.9229E+03
2.5000E+00,3.1853E+03,1.4026E+03,3.5277E+01,1.7474E+03
3.0000E+00,2.5793E+03,9.2625E+02,2.9750E+01,1.6233E+03
4.0000E+00,1.8999E+03,4.1018E+02,2.2856E+01,1.4668E+03
5.0000E+00,1.5358E+03,1.6483E+02,1.8637E+01,1.3523E+03
6.0000E+00,1.3530E+03,6.0213E+01,1.5786E+01,1.2770E+03
7.0000E+00,1.2468E+03,2.2179E+01,1.3737E+01,1.2109E+03
8.0000E+00,1.1784E+03,8.2270E+00,1.2191E+01,1.1580E+03
9.0000E+00,1.1245E+03,2.9842E+00,1.0990E+01,1.1105E+03
1.0000E+01,1.0792E+03,1.0167E+00,1.0029E+01,1.0681E+03
1.2000E+01,1.0138E+03,8.8346E-02,8.5714E+00,1.0051E+03
1.4000E+01,9.4213E+02,1.7998E-03,7.5136E+00,9.3462E+02
1.6000E+01,8.8704E+02,1.4103E-05,6.6995E+00,8.8034E+02
1.8000E+01,8.3232E+02,1.2927E-07,6.0305E+00,8.2629E+02
2.0000E+01,7.8484E+02,0.0000E+00,5.4762E+00,7.7936E+02
