al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.4726E+06,1.4521E+06,2.7607E+03,1.7756E+04
1.0000E-01,7.9610E+05,7.8563E+05,1.6564E+03,8.8064E+03
2.0000E-01,3.5984E+05,3.5452E+05,8.8804E+02,4.4353E+03
3.0000E-01,2.0269E+05,1.9903E+05,5.7378E+02,3.0843E+03
4.0000E-01,1.3095E+05,1.2806E+05,4.1115E+02,2.4760E+03
5.0000E-01,9.2272E+04,8.9834E+04,3.1773E+02,2.1198E+03
6.0000E-01,6.9460E+04,6.7330E+04,2.5903E+02,1.8712E+03
8.0000E-01,4.5594E+04,4.3856E+04,1.9012E+02,1.5479E+03
1.0000E+00,3.3265E+04,3.1765E+04,1.5140E+02,1.3486E+03
1.5000E+00,1.8458E+04,1.7260E+04,1.0055E+02,1.0974E+03
2.0000E+00,1.1584E+04,1.0538E+04,7.4433E+01,9.7173E+02
2.5000E+00,7.6188E+03,6.6732E+03,5.8442E+01,8.8717E+02
3.0000E+00,5.1456E+03,4.2704E+03,4.8017E+01,8.2722E+02
4.0000E+00,2.5867E+03,1.8000E+03,3.5463E+01,7.5123E+02
5.0000E+00,1.4669E+03,7.4407E+02,2.8196E+01,6.9464E+02
6.0000E+00,9.7217E+02,2.9163E+02,2.3587E+01,6.5695E+02
7.0000E+00,7.5324E+02,1.0952E+02,2.0417E+01,6.2331E+02
8.0000E+00,6.5301E+02,3.8809E+01,1.8110E+01,5.9609E+02
9.0000E+00,6.0087E+02,1.2990E+01,1.6404E+01,5.7148E+02
1.0000E+01,5.6865E+02,4.0933E+00,1.5086E+01,5.4947E+02
1.2000E+01,5.3013E+02,3.0994E-01,1.3155E+01,5.1666E+02
1.4000E+01,4.9204E+02,7.6311E-03,1.1816E+01,4.8022E+02
1.6000E+01,4.6311E+02,5.8613E-05,1.0806E+01,4.5230E+02
1.8000E+01,4.3471E+02,6.2495E-07,9.9600E+00,4.2475E+02
2.0000E+01,4.1023E+02,0.0000E+00,9.2446E+00,4.0098E+02
