al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.9330E+06,1.8927E+06,3.5496E+03,3.6819E+04
1.0000E-01,1.0041E+06,9.8391E+05,2.0222E+03,1.8131E+04
2.0000E-01,3.9728E+05,3.8743E+05,9.7773E+02,8.8725E+03
3.0000E-01,1.9238E+05,1.8583E+05,5.7157E+02,5.9767E+03
4.0000E-01,1.0741E+05,1.0235E+05,3.7677E+02,4.6796E+03
5.0000E-01,6.6368E+04,6.2168E+04,2.7225E+02,3.9275E+03
6.0000E-01,4.4964E+04,4.1343E+04,2.1077E+02,3.4101E+03
8.0000E-01,2.6332E+04,2.3438E+04,1.4508E+02,2.7494E+03
1.0000E+00,1.8468E+04,1.6005E+04,1.1195E+02,2.3504E+03
1.5000E+00,1.0251E+04,8.3194E+03,7.3263E+01,1.8581E+03
2.0000E+00,6.8119E+03,5.1385E+03,5.4908E+01,1.6185E+03
2.5000E+00,4.8457E+03,3.3407E+03,4.3867E+01,1.4612E+03
3.0000E+00,3.5787E+03,2.1907E+03,3.6618E+01,1.3514E+03
4.0000E+00,2.2000E+03,9.5838E+02,2.7664E+01,1.2140E+03
5.0000E+00,1.5383E+03,4.0156E+02,2.2300E+01,1.1145E+03
6.0000E+00,1.2261E+03,1.5792E+02,1.8769E+01,1.0494E+03
7.0000E+00,1.0697E+03,6.0304E+01,1.6277E+01,9.9308E+02
8.0000E+00,9.8485E+02,2.2136E+01,1.4427E+01,9.4829E+02
9.0000E+00,9.2907E+02,7.7600E+00,1.3020E+01,9.0829E+02
1.0000E+01,8.8718E+02,2.5845E+00,1.1911E+01,8.7269E+02
1.2000E+01,8.3014E+02,2.1631E-01,1.0257E+01,8.1967E+02
1.4000E+01,7.6992E+02,5.8005E-03,9.0824E+00,7.6083E+02
1.6000E+01,7.2390E+02,4.4519E-05,8.1883E+00,7.1572E+02
1.8000E+01,6.7860E+02,4.8990E-07,7.4505E+00,6.7114E+02
2.0000E+01,6.3946E+02,0.0000E+00,6.8351E+00,6.3262E+02
