al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.4282E+06,1.4187E+06,2.6909E+03,6.8021E+03
1.0000E-01,7.8627E+05,7.7921E+05,1.5880E+03,5.4738E+03
2.0000E-01,3.2678E+05,3.2157E+05,7.7626E+02,4.4349E+03
3.0000E-01,1.5322E+05,1.4882E+05,4.3991E+02,3.9561E+03
4.0000E-01,7.7795E+04,7.3895E+04,2.7642E+02,3.6233E+03
5.0000E-01,4.1987E+04,3.8416E+04,1.8957E+02,3.3810E+03
6.0000E-01,2.4678E+04,2.1340E+04,1.3967E+02,3.1982E+03
8.0000E-01,1.2136E+04,9.1179E+03,8.8892E+01,2.9291E+03
1.0000E+00,7.9778E+03,5.1632E+03,6.5162E+01,2.7495E+03
1.5000E+00,4.4542E+03,1.9347E+03,4.0569E+01,2.4789E+03
2.0000E+00,3.3249E+03,1.0031E+03,3.0254E+01,2.2916E+03
2.5000E+00,2.7811E+03,6.0342E+02,2.4402E+01,2.1532E+03
3.0000E+00,2.4507E+03,3.8317E+02,2.0639E+01,2.0469E+03
4.0000E+00,2.0720E+03,1.5965E+02,1.5960E+01,1.8964E+03
5.0000E+00,1.8527E+03,5.1678E+01,1.3078E+01,1.7880E+03
6.0000E+00,1.7336E+03,1.0483E+01,1.1112E+01,1.7120E+03
7.0000E+00,1.6479E+03,1.4414E+00,9.6949E+00,1.6367E+03
8.0000E+00,1.5789E+03,1.5259E-01,8.6225E+00,1.5701E+03
9.0000E+00,1.5244E+03,9.0895E-03,7.7852E+00,1.5166E+03
1.0000E+01,1.4665E+03,2.2757E-04,7.1107E+00,1.4593E+03
1.2000E+01,1.3770E+03,1.2618E-07,6.0806E+00,1.3709E+03
1.4000E+01,1.2906E+03,0.0000E+00,5.3250E+00,1.2853E+03
1.6000E+01,1.2165E+03,0.0000E+00,4.7378E+00,1.2118E+03
1.8000E+01,1.1545E+03,0.0000E+00,4.2523E+00,1.1503E+03
2.0000E+01,1.0902E+03,0.0000E+00,3.8494E+00,1.0863E+03
