al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,3.8338E+02,7.5147E+01,1.6087E-01,3.0808E+02
1.0000E-01,3.4346E+02,6.1786E+01,1.3871E-01,2.8153E+02
2.0000E-01,3.1449E+02,4.6859E+01,1.0562E-01,2.6753E+02
3.0000E-01,2.9587E+02,3.3470E+01,7.8748E-02,2.6232E+02
4.0000E-01,2.7589E+02,2.3072E+01,5.9626E-02,2.5276E+02
5.0000E-01,2.5677E+02,1.5972E+01,4.6883E-02,2.4075E+02
6.0000E-01,2.4174E+02,1.1561E+01,3.8255E-02,2.3015E+02
8.0000E-01,2.1997E+02,7.2014E+00,2.7647E-02,2.1274E+02
1.0000E+00,2.0213E+02,5.0900E+00,2.1730E-02,1.9702E+02
1.5000E+00,1.6683E+02,2.6933E+00,1.4699E-02,1.6412E+02
2.0000E+00,1.4195E+02,1.7591E+00,1.1384E-02,1.4018E+02
2.5000E+00,1.2353E+02,1.3019E+00,9.3850E-03,1.2222E+02
3.0000E+00,1.0979E+02,1.0276E+00,8.0154E-03,1.0876E+02
4.0000E+00,9.1230E+01,6.3660E-01,6.1977E-03,9.0587E+01
5.0000E+00,7.7602E+01,3.4791E-01,5.0287E-03,7.7249E+01
6.0000E+00,6.8847E+01,1.5955E-01,4.2303E-03,6.8683E+01
7.0000E+00,6.1839E+01,5.1578E-02,3.6526E-03,6.1784E+01
8.0000E+00,5.6535E+01,1.0551E-02,3.2126E-03,5.6521E+01
9.0000E+00,5.1904E+01,4.0499E-04,2.8796E-03,5.1900E+01
1.0000E+01,4.7832E+01,8.5038E-06,2.6318E-03,4.7829E+01
1.2000E+01,4.1534E+01,0.0000E+00,2.2739E-03,4.1532E+01
1.4000E+01,3.5588E+01,0.0000E+00,2.0345E-03,3.5586E+01
1.6000E+01,3.1408E+01,0.0000E+00,1.8768E-03,3.1406E+01
1.8000E+01,2.7906E+01,0.0000E+00,1.7496E-03,2.7905E+01
2.0000E+01,2.5189E+01,0.0000E+00,1.6330E-03,2.5187E+01
