al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.4810E+06,1.4604E+06,2.7762E+03,1.7853E+04
1.0000E-01,8.0028E+05,7.8976E+05,1.6649E+03,8.8608E+03
2.0000E-01,3.6139E+05,3.5603E+05,8.9196E+02,4.4679E+03
3.0000E-01,2.0341E+05,1.9972E+05,5.7603E+02,3.1065E+03
4.0000E-01,1.3134E+05,1.2844E+05,4.1262E+02,2.4898E+03
5.0000E-01,9.2511E+04,9.0064E+04,3.1879E+02,2.1285E+03
6.0000E-01,6.9620E+04,6.7483E+04,2.5985E+02,1.8777E+03
8.0000E-01,4.5688E+04,4.3944E+04,1.9068E+02,1.5537E+03
1.0000E+00,3.3331E+04,3.1824E+04,1.5184E+02,1.3545E+03
1.5000E+00,1.8492E+04,1.7289E+04,1.0083E+02,1.1023E+03
2.0000E+00,1.1605E+04,1.0555E+04,7.4644E+01,9.7506E+02
2.5000E+00,7.6319E+03,6.6843E+03,5.8610E+01,8.8899E+02
3.0000E+00,5.1537E+03,4.2776E+03,4.8157E+01,8.2789E+02
4.0000E+00,2.5890E+03,1.8029E+03,3.5569E+01,7.5057E+02
5.0000E+00,1.4670E+03,7.4519E+02,2.8281E+01,6.9352E+02
6.0000E+00,9.7155E+02,2.9204E+02,2.3659E+01,6.5585E+02
7.0000E+00,7.5274E+02,1.0968E+02,2.0480E+01,6.2258E+02
8.0000E+00,6.5288E+02,3.8864E+01,1.8165E+01,5.9585E+02
9.0000E+00,6.0118E+02,1.3008E+01,1.6454E+01,5.7172E+02
1.0000E+01,5.6937E+02,4.0993E+00,1.5132E+01,5.5014E+02
1.2000E+01,5.3140E+02,3.1043E-01,1.3194E+01,5.1789E+02
1.4000E+01,4.9358E+02,7.6281E-03,1.1850E+01,4.8172E+02
1.6000E+01,4.6470E+02,5.8595E-05,1.0837E+01,4.5386E+02
1.8000E+01,4.3627E+02,6.2404E-07,9.9881E+00,4.2628E+02
2.0000E+01,4.1173E+02,0.0000E+00,9.2703E+00,4.0246E+02
