al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.6343E+06,1.6118E+06,3.0676E+03,1.9463E+04
1.0000E-01,8.8793E+05,8.7645E+05,1.8497E+03,9.6346E+03
2.0000E-01,4.0499E+05,3.9914E+05,9.9924E+02,4.8495E+03
3.0000E-01,2.3020E+05,2.2618E+05,6.4997E+02,3.3695E+03
4.0000E-01,1.4999E+05,1.4682E+05,4.6837E+02,2.6979E+03
5.0000E-01,1.0646E+05,1.0380E+05,3.6363E+02,2.3035E+03
6.0000E-01,8.0628E+04,7.8300E+04,2.9758E+02,2.0299E+03
8.0000E-01,5.3371E+04,5.1475E+04,2.1963E+02,1.6768E+03
1.0000E+00,3.9146E+04,3.7510E+04,1.7554E+02,1.4601E+03
1.5000E+00,2.1876E+04,2.0573E+04,1.1707E+02,1.1865E+03
2.0000E+00,1.3765E+04,1.2629E+04,8.6775E+01,1.0488E+03
2.5000E+00,9.0459E+03,8.0220E+03,6.8128E+01,9.5579E+02
3.0000E+00,6.0851E+03,5.1393E+03,5.5941E+01,8.8983E+02
4.0000E+00,3.0152E+03,2.1674E+03,4.1253E+01,8.0649E+02
5.0000E+00,1.6736E+03,8.9583E+02,3.2755E+01,7.4506E+02
6.0000E+00,1.0824E+03,3.5056E+02,2.7374E+01,7.0445E+02
7.0000E+00,8.2345E+02,1.3128E+02,2.3681E+01,6.6849E+02
8.0000E+00,7.0686E+02,4.6321E+01,2.0999E+01,6.3954E+02
9.0000E+00,6.4786E+02,1.5427E+01,1.9020E+01,6.1341E+02
1.0000E+01,6.1237E+02,4.8327E+00,1.7495E+01,5.9005E+02
1.2000E+01,5.7082E+02,3.6132E-01,1.5266E+01,5.5519E+02
1.4000E+01,5.3002E+02,8.7009E-03,1.3725E+01,5.1629E+02
1.6000E+01,4.9898E+02,6.6870E-05,1.2565E+01,4.8642E+02
1.8000E+01,4.6847E+02,7.0609E-07,1.1593E+01,4.5688E+02
2.0000E+01,4.4213E+02,0.0000E+00,1.0770E+01,4.3136E+02
