al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.7185E+06,1.6927E+06,3.2160E+03,2.2537E+04
1.0000E-01,9.2885E+05,9.1595E+05,1.9280E+03,1.0965E+04
2.0000E-01,4.1771E+05,4.1125E+05,1.0314E+03,5.4287E+03
3.0000E-01,2.3463E+05,2.3023E+05,6.6593E+02,3.7379E+03
4.0000E-01,1.5165E+05,1.4820E+05,4.7758E+02,2.9761E+03
5.0000E-01,1.0710E+05,1.0420E+05,3.6967E+02,2.5312E+03
6.0000E-01,8.0892E+04,7.8367E+04,3.0201E+02,2.2233E+03
8.0000E-01,5.3538E+04,5.1488E+04,2.2271E+02,1.8271E+03
1.0000E+00,3.9363E+04,3.7599E+04,1.7815E+02,1.5852E+03
1.5000E+00,2.2162E+04,2.0761E+04,1.1927E+02,1.2818E+03
2.0000E+00,1.4077E+04,1.2858E+04,8.8722E+01,1.1302E+03
2.5000E+00,9.3401E+03,8.2420E+03,6.9837E+01,1.0283E+03
3.0000E+00,6.3358E+03,5.3222E+03,5.7441E+01,9.5620E+02
4.0000E+00,3.1831E+03,2.2751E+03,4.2428E+01,8.6548E+02
5.0000E+00,1.7822E+03,9.4951E+02,3.3703E+01,7.9898E+02
6.0000E+00,1.1575E+03,3.7420E+02,2.8159E+01,7.5514E+02
7.0000E+00,8.8200E+02,1.4118E+02,2.4347E+01,7.1647E+02
8.0000E+00,7.5725E+02,5.0274E+01,2.1578E+01,6.8540E+02
9.0000E+00,6.9383E+02,1.6917E+01,1.9532E+01,6.5738E+02
1.0000E+01,6.5567E+02,5.3665E+00,1.7954E+01,6.3235E+02
1.2000E+01,6.1106E+02,4.0783E-01,1.5651E+01,5.9500E+02
1.4000E+01,5.6733E+02,1.0006E-02,1.4061E+01,5.5326E+02
1.6000E+01,5.3404E+02,7.6864E-05,1.2867E+01,5.2117E+02
1.8000E+01,5.0129E+02,8.1992E-07,1.1868E+01,4.8942E+02
2.0000E+01,4.7302E+02,0.0000E+00,1.1024E+01,4.6199E+02
