al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,5.0881E+01,1.1732E+01,2.5842E-02,3.9123E+01
1.0000E-01,4.1515E+01,1.0159E+01,2.3611E-02,3.1332E+01
2.0000E-01,3.5177E+01,8.3283E+00,1.9603E-02,2.6829E+01
3.0000E-01,3.1860E+01,6.4743E+00,1.5788E-02,2.5370E+01
4.0000E-01,2.8456E+01,4.8896E+00,1.2825E-02,2.3553E+01
5.0000E-01,2.5556E+01,3.7138E+00,1.0734E-02,2.1831E+01
6.0000E-01,2.3417E+01,2.9276E+00,9.2540E-03,2.0480E+01
8.0000E-01,2.0484E+01,2.0699E+00,7.3134E-03,1.8407E+01
1.0000E+00,1.8439E+01,1.6037E+00,6.1530E-03,1.6829E+01
1.5000E+00,1.4849E+01,1.0058E+00,4.7311E-03,1.3838E+01
2.0000E+00,1.2202E+01,7.3787E-01,3.9753E-03,1.1460E+01
2.5000E+00,1.0314E+01,5.9393E-01,3.4634E-03,9.7164E+00
3.0000E+00,8.8934E+00,5.0115E-01,3.0600E-03,8.3892E+00
4.0000E+00,6.9210E+00,3.5312E-01,2.4346E-03,6.5654E+00
5.0000E+00,5.6266E+00,2.1984E-01,1.9935E-03,5.4047E+00
6.0000E+00,4.8175E+00,1.1186E-01,1.6751E-03,4.7040E+00
7.0000E+00,4.2070E+00,3.9038E-02,1.4374E-03,4.1665E+00
8.0000E+00,3.7708E+00,8.3957E-03,1.2515E-03,3.7612E+00
9.0000E+00,3.4449E+00,3.2669E-04,1.1066E-03,3.4434E+00
1.0000E+01,3.1145E+00,6.8650E-06,1.0024E-03,3.1135E+00
1.2000E+01,2.5683E+00,0.0000E+00,8.5459E-04,2.5674E+00
1.4000E+01,2.0481E+00,0.0000E+00,7.5615E-04,2.0473E+00
1.6000E+01,1.6402E+00,0.0000E+00,7.0054E-04,1.6395E+00
1.8000E+01,1.3428E+00,0.0000E+00,6.6102E-04,1.3421E+00
2.0000E+01,1.1105E+00,0.0000E+00,6.2135E-04,1.1098E+00
