al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.4073E+06,1.3872E+06,2.6347E+03,1.7478E+04
1.0000E-01,7.5785E+05,7.4757E+05,1.5741E+03,8.7051E+03
2.0000E-01,3.3950E+05,3.3427E+05,8.3795E+02,4.3900E+03
3.0000E-01,1.8958E+05,1.8597E+05,5.3823E+02,3.0710E+03
4.0000E-01,1.2158E+05,1.1874E+05,3.8399E+02,2.4543E+03
5.0000E-01,8.5191E+04,8.2791E+04,2.9581E+02,2.1048E+03
6.0000E-01,6.3900E+04,6.1798E+04,2.4065E+02,1.8623E+03
8.0000E-01,4.1841E+04,4.0129E+04,1.7625E+02,1.5359E+03
1.0000E+00,3.0543E+04,2.9059E+04,1.4027E+02,1.3433E+03
1.5000E+00,1.7008E+04,1.5813E+04,9.3224E+01,1.1024E+03
2.0000E+00,1.0725E+04,9.6811E+03,6.9102E+01,9.7445E+02
2.5000E+00,7.0952E+03,6.1481E+03,5.4318E+01,8.9281E+02
3.0000E+00,4.8220E+03,3.9426E+03,4.4666E+01,8.3466E+02
4.0000E+00,2.4551E+03,1.6672E+03,3.3021E+01,7.5490E+02
5.0000E+00,1.4170E+03,6.9048E+02,2.6266E+01,7.0028E+02
6.0000E+00,9.5676E+02,2.7086E+02,2.1974E+01,6.6393E+02
7.0000E+00,7.5251E+02,1.0186E+02,1.9018E+01,6.3164E+02
8.0000E+00,6.5788E+02,3.6169E+01,1.6866E+01,6.0484E+02
9.0000E+00,6.1154E+02,1.2138E+01,1.5273E+01,5.8413E+02
1.0000E+01,5.8005E+02,3.8364E+00,1.4042E+01,5.6217E+02
1.2000E+01,5.4071E+02,2.9227E-01,1.2237E+01,5.2818E+02
1.4000E+01,5.0593E+02,7.2383E-03,1.0984E+01,4.9494E+02
1.6000E+01,4.7632E+02,5.5592E-05,1.0040E+01,4.6628E+02
1.8000E+01,4.5140E+02,5.9406E-07,9.2501E+00,4.4215E+02
2.0000E+01,4.2569E+02,0.0000E+00,8.5825E+00,4.1711E+02
