al_thickness,total_dose,trapped_electrons,bremsstrahlung,trapped_protons
5.0000E-02,1.9256E+06,1.9051E+06,3.5870E+03,1.6861E+04
1.0000E-01,1.0267E+06,1.0138E+06,2.0644E+03,1.0838E+04
2.0000E-01,4.0746E+05,3.9960E+05,9.8365E+02,6.8740E+03
3.0000E-01,1.8663E+05,1.8075E+05,5.5136E+02,5.3252E+03
4.0000E-01,9.3960E+04,8.9082E+04,3.4513E+02,4.5335E+03
5.0000E-01,5.0547E+04,4.6281E+04,2.3653E+02,4.0294E+03
6.0000E-01,2.9518E+04,2.5676E+04,1.7438E+02,3.6669E+03
8.0000E-01,1.4074E+04,1.0780E+04,1.1127E+02,3.1821E+03
1.0000E+00,8.9300E+03,5.9807E+03,8.1769E+01,2.8675E+03
1.5000E+00,4.6841E+03,2.1939E+03,5.1093E+01,2.4391E+03
2.0000E+00,3.3792E+03,1.1375E+03,3.8164E+01,2.2036E+03
2.5000E+00,2.7527E+03,6.8726E+02,3.0809E+01,2.0347E+03
3.0000E+00,2.3734E+03,4.3706E+02,2.6067E+01,1.9103E+03
4.0000E+00,1.9498E+03,1.8124E+02,2.0156E+01,1.7484E+03
5.0000E+00,1.6992E+03,5.8084E+01,1.6515E+01,1.6246E+03
6.0000E+00,1.5674E+03,1.1611E+01,1.4031E+01,1.5418E+03
7.0000E+00,1.4812E+03,1.6058E+00,1.2235E+01,1.4674E+03
8.0000E+00,1.4184E+03,1.8866E-01,1.0874E+01,1.4073E+03
9.0000E+00,1.3626E+03,1.6077E-02,9.8084E+00,1.3528E+03
1.0000E+01,1.3128E+03,1.6026E-03,8.9493E+00,1.3038E+03
1.2000E+01,1.2385E+03,4.5106E-06,7.6373E+00,1.2309E+03
1.4000E+01,1.1544E+03,1.3860E-08,6.6747E+00,1.1477E+03
1.6000E+01,1.0892E+03,0.0000E+00,5.9278E+00,1.0833E+03
1.8000E+01,1.0239E+03,0.0000E+00,5.3123E+00,1.0186E+03
2.0000E+01,9.6709E+02,0.0000E+00,4.8026E+00,9.6228E+02
