'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:10:37'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.7016E+06, 1.6777E+06, 3.1916E+03, 2.0655E+04
 1.0000E-01, 9.2392E+05, 9.1184E+05, 1.9228E+03, 1.0153E+04
 2.0000E-01, 4.2012E+05, 4.1401E+05, 1.0372E+03, 5.0724E+03
 3.0000E-01, 2.3838E+05, 2.3420E+05, 6.7409E+02, 3.5085E+03
 4.0000E-01, 1.5528E+05, 1.5199E+05, 4.8563E+02, 2.8021E+03
 5.0000E-01, 1.1026E+05, 1.0750E+05, 3.7702E+02, 2.3887E+03
 6.0000E-01, 8.3538E+04, 8.1127E+04, 3.0855E+02, 2.1021E+03
 8.0000E-01, 5.5319E+04, 5.3359E+04, 2.2776E+02, 1.7324E+03
 1.0000E+00, 4.0576E+04, 3.8888E+04, 1.8209E+02, 1.5061E+03
 1.5000E+00, 2.2674E+04, 2.1331E+04, 1.2157E+02, 1.2213E+03
 2.0000E+00, 1.4296E+04, 1.3127E+04, 9.0210E+01, 1.0786E+03
 2.5000E+00, 9.4259E+03, 8.3727E+03, 7.0892E+01, 9.8225E+02
 3.0000E+00, 6.3616E+03, 5.3893E+03, 5.8252E+01, 9.1401E+02
 4.0000E+00, 3.1635E+03, 2.2927E+03, 4.2995E+01, 8.2778E+02
 5.0000E+00, 1.7551E+03, 9.5668E+02, 3.4152E+01, 7.6432E+02
 6.0000E+00, 1.1301E+03, 3.7911E+02, 2.8546E+01, 7.2243E+02
 7.0000E+00, 8.5426E+02, 1.4408E+02, 2.4693E+01, 6.8548E+02
 8.0000E+00, 7.2946E+02, 5.1775E+01, 2.1893E+01, 6.5579E+02
 9.0000E+00, 6.6646E+02, 1.7608E+01, 1.9826E+01, 6.2902E+02
 1.0000E+01, 6.2899E+02, 5.6601E+00, 1.8232E+01, 6.0510E+02
 1.2000E+01, 5.8574E+02, 4.4792E-01, 1.5904E+01, 5.6939E+02
 1.4000E+01, 5.4380E+02, 1.1585E-02, 1.4295E+01, 5.2949E+02
 1.6000E+01, 5.1192E+02, 8.8926E-05, 1.3085E+01, 4.9884E+02
 1.8000E+01, 4.8059E+02, 9.6668E-07, 1.2073E+01, 4.6851E+02
 2.0000E+01, 4.5353E+02, 0.0000E+00, 1.1217E+01, 4.4231E+02
'End of File'
