'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 14:57:23'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 9.5767E+03, 8.2346E+03, 1.6619E+01, 1.3255E+03
 1.0000E-01, 6.8854E+03, 5.6448E+03, 1.1818E+01, 1.2288E+03
 2.0000E-01, 4.3499E+03, 3.1943E+03, 6.9502E+00, 1.1487E+03
 3.0000E-01, 2.8272E+03, 1.7230E+03, 4.2516E+00, 1.0999E+03
 4.0000E-01, 1.9544E+03, 8.9749E+02, 2.7405E+00, 1.0541E+03
 5.0000E-01, 1.4866E+03, 4.6821E+02, 1.8836E+00, 1.0165E+03
 6.0000E-01, 1.2454E+03, 2.5853E+02, 1.3745E+00, 9.8552E+02
 8.0000E-01, 1.0417E+03, 1.0818E+02, 8.4620E-01, 9.3268E+02
 1.0000E+00, 9.4933E+02, 5.9438E+01, 6.0043E-01, 8.8930E+02
 1.5000E+00, 8.2651E+02, 2.0835E+01, 3.5831E-01, 8.0532E+02
 2.0000E+00, 7.5002E+02, 1.0403E+01, 2.6421E-01, 7.3935E+02
 2.5000E+00, 6.9752E+02, 6.3496E+00, 2.1330E-01, 6.9095E+02
 3.0000E+00, 6.5780E+02, 4.3350E+00, 1.8151E-01, 6.5328E+02
 4.0000E+00, 5.9935E+02, 2.1454E+00, 1.4213E-01, 5.9707E+02
 5.0000E+00, 5.5714E+02, 9.5012E-01, 1.1736E-01, 5.5607E+02
 6.0000E+00, 5.2911E+02, 3.6099E-01, 1.0026E-01, 5.2865E+02
 7.0000E+00, 5.0490E+02, 1.0106E-01, 8.7845E-02, 5.0471E+02
 8.0000E+00, 4.8514E+02, 1.9054E-02, 7.8392E-02, 4.8504E+02
 9.0000E+00, 4.6979E+02, 7.1375E-04, 7.1086E-02, 4.6972E+02
 1.0000E+01, 4.5297E+02, 1.4965E-05, 6.5245E-02, 4.5291E+02
 1.2000E+01, 4.2573E+02, 0.0000E+00, 5.6275E-02, 4.2568E+02
 1.4000E+01, 3.9840E+02, 0.0000E+00, 4.9686E-02, 3.9835E+02
 1.6000E+01, 3.7489E+02, 0.0000E+00, 4.4566E-02, 3.7485E+02
 1.8000E+01, 3.5579E+02, 0.0000E+00, 4.0280E-02, 3.5575E+02
 2.0000E+01, 3.3692E+02, 0.0000E+00, 3.6684E-02, 3.3688E+02
'End of File'
