'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 14:55:57'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.4880E+03, 6.7679E+02, 1.4053E+00, 8.0982E+02
 1.0000E-01, 1.2478E+03, 5.0796E+02, 1.0987E+00, 7.3875E+02
 2.0000E-01, 1.0265E+03, 3.3512E+02, 7.3273E-01, 6.9069E+02
 3.0000E-01, 8.7912E+02, 2.0867E+02, 4.9262E-01, 6.6996E+02
 4.0000E-01, 7.6999E+02, 1.2545E+02, 3.4249E-01, 6.4420E+02
 5.0000E-01, 6.9530E+02, 7.6142E+01, 2.5071E-01, 6.1891E+02
 6.0000E-01, 6.4627E+02, 4.9040E+01, 1.9273E-01, 5.9704E+02
 8.0000E-01, 5.8437E+02, 2.6078E+01, 1.2761E-01, 5.5816E+02
 1.0000E+00, 5.4126E+02, 1.6738E+01, 9.4537E-02, 5.2442E+02
 1.5000E+00, 4.6269E+02, 7.5722E+00, 5.8791E-02, 4.5506E+02
 2.0000E+00, 4.0568E+02, 4.4865E+00, 4.3729E-02, 4.0115E+02
 2.5000E+00, 3.6623E+02, 3.1054E+00, 3.5307E-02, 3.6309E+02
 3.0000E+00, 3.3673E+02, 2.3326E+00, 2.9915E-02, 3.3437E+02
 4.0000E+00, 2.9414E+02, 1.3382E+00, 2.3169E-02, 2.9278E+02
 5.0000E+00, 2.6448E+02, 6.8898E-01, 1.8950E-02, 2.6377E+02
 6.0000E+00, 2.4510E+02, 3.0374E-01, 1.6081E-02, 2.4478E+02
 7.0000E+00, 2.2914E+02, 9.6315E-02, 1.4010E-02, 2.2903E+02
 8.0000E+00, 2.1648E+02, 1.9600E-02, 1.2436E-02, 2.1644E+02
 9.0000E+00, 2.0667E+02, 7.5270E-04, 1.1239E-02, 2.0666E+02
 1.0000E+01, 1.9638E+02, 1.5804E-05, 1.0316E-02, 1.9637E+02
 1.2000E+01, 1.7993E+02, 0.0000E+00, 8.9411E-03, 1.7992E+02
 1.4000E+01, 1.6463E+02, 0.0000E+00, 7.9742E-03, 1.6463E+02
 1.6000E+01, 1.5219E+02, 0.0000E+00, 7.2696E-03, 1.5218E+02
 1.8000E+01, 1.4247E+02, 0.0000E+00, 6.6845E-03, 1.4247E+02
 2.0000E+01, 1.3329E+02, 0.0000E+00, 6.1739E-03, 1.3328E+02
'End of File'
