'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:02:19'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.7754E+06, 1.7383E+06, 3.2746E+03, 3.3834E+04
 1.0000E-01, 9.3525E+05, 9.1727E+05, 1.9022E+03, 1.6068E+04
 2.0000E-01, 3.8890E+05, 3.8029E+05, 9.5832E+02, 7.6500E+03
 3.0000E-01, 2.0112E+05, 1.9542E+05, 5.8530E+02, 5.1070E+03
 4.0000E-01, 1.2067E+05, 1.1629E+05, 4.0140E+02, 3.9867E+03
 5.0000E-01, 8.0049E+04, 7.6406E+04, 3.0004E+02, 3.3428E+03
 6.0000E-01, 5.7661E+04, 5.4523E+04, 2.3877E+02, 2.8998E+03
 8.0000E-01, 3.6320E+04, 3.3816E+04, 1.7048E+02, 2.3339E+03
 1.0000E+00, 2.6242E+04, 2.4114E+04, 1.3420E+02, 1.9933E+03
 1.5000E+00, 1.4722E+04, 1.3057E+04, 8.9048E+01, 1.5759E+03
 2.0000E+00, 9.5457E+03, 8.1051E+03, 6.6534E+01, 1.3741E+03
 2.5000E+00, 6.5352E+03, 5.2407E+03, 5.2765E+01, 1.2417E+03
 3.0000E+00, 4.6072E+03, 3.4140E+03, 4.3714E+01, 1.1495E+03
 4.0000E+00, 2.5464E+03, 1.4796E+03, 3.2640E+01, 1.0342E+03
 5.0000E+00, 1.5987E+03, 6.2187E+02, 2.6109E+01, 9.5067E+02
 6.0000E+00, 1.1646E+03, 2.4661E+02, 2.1888E+01, 8.9608E+02
 7.0000E+00, 9.6180E+02, 9.4166E+01, 1.8950E+01, 8.4869E+02
 8.0000E+00, 8.6194E+02, 3.4211E+01, 1.6792E+01, 8.1093E+02
 9.0000E+00, 8.0414E+02, 1.1808E+01, 1.5176E+01, 7.7715E+02
 1.0000E+01, 7.6484E+02, 3.8668E+00, 1.3916E+01, 7.4705E+02
 1.2000E+01, 7.1459E+02, 3.1739E-01, 1.2059E+01, 7.0221E+02
 1.4000E+01, 6.6311E+02, 8.5202E-03, 1.0760E+01, 6.5234E+02
 1.6000E+01, 6.2387E+02, 6.5374E-05, 9.7778E+00, 6.1409E+02
 1.8000E+01, 5.8526E+02, 7.2091E-07, 8.9630E+00, 5.7630E+02
 2.0000E+01, 5.5193E+02, 0.0000E+00, 8.2789E+00, 5.4365E+02
'End of File'
