'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 14:58:02'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.0881E+05, 1.0667E+05, 2.0832E+02, 1.9282E+03
 1.0000E-01, 6.7678E+04, 6.5706E+04, 1.3479E+02, 1.8374E+03
 2.0000E-01, 3.3510E+04, 3.1703E+04, 7.1975E+01, 1.7349E+03
 3.0000E-01, 1.7415E+04, 1.5723E+04, 4.2165E+01, 1.6496E+03
 4.0000E-01, 9.5111E+03, 7.9017E+03, 2.6706E+01, 1.5827E+03
 5.0000E-01, 5.6014E+03, 4.0493E+03, 1.8264E+01, 1.5338E+03
 6.0000E-01, 3.7145E+03, 2.2093E+03, 1.3356E+01, 1.4919E+03
 8.0000E-01, 2.3639E+03, 9.3723E+02, 8.3516E+00, 1.4183E+03
 1.0000E+00, 1.9011E+03, 5.3487E+02, 6.0336E+00, 1.3602E+03
 1.5000E+00, 1.4624E+03, 1.9953E+02, 3.6934E+00, 1.2592E+03
 2.0000E+00, 1.2846E+03, 1.0077E+02, 2.7426E+00, 1.1810E+03
 2.5000E+00, 1.1827E+03, 5.9319E+01, 2.2115E+00, 1.1212E+03
 3.0000E+00, 1.1128E+03, 3.7492E+01, 1.8738E+00, 1.0735E+03
 4.0000E+00, 1.0194E+03, 1.5947E+01, 1.4551E+00, 1.0020E+03
 5.0000E+00, 9.5520E+02, 5.4342E+00, 1.1952E+00, 9.4857E+02
 6.0000E+00, 9.1394E+02, 1.2818E+00, 1.0175E+00, 9.1164E+02
 7.0000E+00, 8.7765E+02, 2.0178E-01, 8.8961E-01, 8.7656E+02
 8.0000E+00, 8.4714E+02, 2.2055E-02, 7.9297E-01, 8.4633E+02
 9.0000E+00, 8.2308E+02, 6.7655E-04, 7.1793E-01, 8.2236E+02
 1.0000E+01, 7.9648E+02, 1.3936E-05, 6.5762E-01, 7.9583E+02
 1.2000E+01, 7.5408E+02, 0.0000E+00, 5.6526E-01, 7.5352E+02
 1.4000E+01, 7.1100E+02, 0.0000E+00, 4.9735E-01, 7.1050E+02
 1.6000E+01, 6.7333E+02, 0.0000E+00, 4.4432E-01, 6.7289E+02
 1.8000E+01, 6.4205E+02, 0.0000E+00, 4.0006E-01, 6.4165E+02
 2.0000E+01, 6.1014E+02, 0.0000E+00, 3.6315E-01, 6.0978E+02
'End of File'
