'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:16:13'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 6.2648E+05, 6.2223E+05, 1.1922E+03, 3.0625E+03
 1.0000E-01, 3.6028E+05, 3.5665E+05, 7.2746E+02, 2.8944E+03
 2.0000E-01, 1.5891E+05, 1.5580E+05, 3.6713E+02, 2.7469E+03
 3.0000E-01, 7.6765E+04, 7.3923E+04, 2.1058E+02, 2.6314E+03
 4.0000E-01, 3.9505E+04, 3.6866E+04, 1.3274E+02, 2.5064E+03
 5.0000E-01, 2.1562E+04, 1.9073E+04, 9.0994E+01, 2.3984E+03
 6.0000E-01, 1.2929E+04, 1.0550E+04, 6.6916E+01, 2.3116E+03
 8.0000E-01, 6.7840E+03, 4.5642E+03, 4.2402E+01, 2.1774E+03
 1.0000E+00, 4.7468E+03, 2.6335E+03, 3.0975E+01, 2.0822E+03
 1.5000E+00, 2.9503E+03, 1.0043E+03, 1.9207E+01, 1.9268E+03
 2.0000E+00, 2.3415E+03, 5.1989E+02, 1.4306E+01, 1.8073E+03
 2.5000E+00, 2.0371E+03, 3.1150E+02, 1.1532E+01, 1.7141E+03
 3.0000E+00, 1.8467E+03, 1.9772E+02, 9.7539E+00, 1.6393E+03
 4.0000E+00, 1.6190E+03, 8.2836E+01, 7.5462E+00, 1.5287E+03
 5.0000E+00, 1.4800E+03, 2.7090E+01, 6.1844E+00, 1.4467E+03
 6.0000E+00, 1.4009E+03, 5.6712E+00, 5.2565E+00, 1.3900E+03
 7.0000E+00, 1.3406E+03, 8.0136E-01, 4.5889E+00, 1.3352E+03
 8.0000E+00, 1.2917E+03, 8.6188E-02, 4.0848E+00, 1.2876E+03
 9.0000E+00, 1.2534E+03, 4.5477E-03, 3.6922E+00, 1.2497E+03
 1.0000E+01, 1.2115E+03, 1.1130E-04, 3.3763E+00, 1.2081E+03
 1.2000E+01, 1.1455E+03, 4.7717E-08, 2.8939E+00, 1.1426E+03
 1.4000E+01, 1.0790E+03, 0.0000E+00, 2.5398E+00, 1.0765E+03
 1.6000E+01, 1.0209E+03, 0.0000E+00, 2.2641E+00, 1.0186E+03
 1.8000E+01, 9.7218E+02, 0.0000E+00, 2.0352E+00, 9.7015E+02
 2.0000E+01, 9.2187E+02, 0.0000E+00, 1.8449E+00, 9.2002E+02
'End of File'
