'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:19:09'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 5.0771E+01, 1.1729E+01, 2.5837E-02, 3.9016E+01
 1.0000E-01, 4.1443E+01, 1.0158E+01, 2.3607E-02, 3.1262E+01
 2.0000E-01, 3.5140E+01, 8.3267E+00, 1.9599E-02, 2.6793E+01
 3.0000E-01, 3.1830E+01, 6.4722E+00, 1.5786E-02, 2.5342E+01
 4.0000E-01, 2.8431E+01, 4.8884E+00, 1.2823E-02, 2.3530E+01
 5.0000E-01, 2.5537E+01, 3.7138E+00, 1.0734E-02, 2.1813E+01
 6.0000E-01, 2.3397E+01, 2.9282E+00, 9.2545E-03, 2.0460E+01
 8.0000E-01, 2.0448E+01, 2.0702E+00, 7.3129E-03, 1.8370E+01
 1.0000E+00, 1.8382E+01, 1.6037E+00, 6.1531E-03, 1.6772E+01
 1.5000E+00, 1.4758E+01, 1.0059E+00, 4.7336E-03, 1.3748E+01
 2.0000E+00, 1.2117E+01, 7.3801E-01, 3.9780E-03, 1.1375E+01
 2.5000E+00, 1.0250E+01, 5.9475E-01, 3.4659E-03, 9.6516E+00
 3.0000E+00, 8.8476E+00, 5.0250E-01, 3.0626E-03, 8.3420E+00
 4.0000E+00, 6.8899E+00, 3.5347E-01, 2.4371E-03, 6.5340E+00
 5.0000E+00, 5.5984E+00, 2.1992E-01, 1.9954E-03, 5.3765E+00
 6.0000E+00, 4.7901E+00, 1.1217E-01, 1.6770E-03, 4.6762E+00
 7.0000E+00, 4.1807E+00, 3.9182E-02, 1.4391E-03, 4.1401E+00
 8.0000E+00, 3.7463E+00, 8.4500E-03, 1.2527E-03, 3.7366E+00
 9.0000E+00, 3.4224E+00, 3.2964E-04, 1.1076E-03, 3.4210E+00
 1.0000E+01, 3.0946E+00, 6.9274E-06, 1.0034E-03, 3.0936E+00
 1.2000E+01, 2.5522E+00, 0.0000E+00, 8.5547E-04, 2.5513E+00
 1.4000E+01, 2.0336E+00, 0.0000E+00, 7.5686E-04, 2.0329E+00
 1.6000E+01, 1.6265E+00, 0.0000E+00, 7.0115E-04, 1.6258E+00
 1.8000E+01, 1.3311E+00, 0.0000E+00, 6.6160E-04, 1.3304E+00
 2.0000E+01, 1.1023E+00, 0.0000E+00, 6.2188E-04, 1.1017E+00
'End of File'
