'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:19:40'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 3.5278E+00, 3.5197E+00, 8.1074E-03, 0.0000E+00
 1.0000E-01, 3.2033E+00, 3.1955E+00, 7.7970E-03, 0.0000E+00
 2.0000E-01, 2.8115E+00, 2.8045E+00, 7.0042E-03, 0.0000E+00
 3.0000E-01, 2.3526E+00, 2.3466E+00, 6.0599E-03, 0.0000E+00
 4.0000E-01, 1.9222E+00, 1.9169E+00, 5.2531E-03, 0.0000E+00
 5.0000E-01, 1.5789E+00, 1.5742E+00, 4.6550E-03, 0.0000E+00
 6.0000E-01, 1.3343E+00, 1.3301E+00, 4.2157E-03, 0.0000E+00
 8.0000E-01, 1.0443E+00, 1.0407E+00, 3.6058E-03, 0.0000E+00
 1.0000E+00, 8.7191E-01, 8.6869E-01, 3.2174E-03, 0.0000E+00
 1.5000E+00, 6.2560E-01, 6.2282E-01, 2.7739E-03, 0.0000E+00
 2.0000E+00, 5.0067E-01, 4.9816E-01, 2.5077E-03, 0.0000E+00
 2.5000E+00, 4.2898E-01, 4.2668E-01, 2.2985E-03, 0.0000E+00
 3.0000E+00, 3.8031E-01, 3.7821E-01, 2.0986E-03, 0.0000E+00
 4.0000E+00, 2.9275E-01, 2.9103E-01, 1.7232E-03, 0.0000E+00
 5.0000E+00, 1.9976E-01, 1.9833E-01, 1.4317E-03, 0.0000E+00
 6.0000E+00, 1.0989E-01, 1.0868E-01, 1.2093E-03, 0.0000E+00
 7.0000E+00, 4.1089E-02, 4.0051E-02, 1.0375E-03, 0.0000E+00
 8.0000E+00, 9.9022E-03, 9.0033E-03, 8.9896E-04, 0.0000E+00
 9.0000E+00, 1.1437E-03, 3.5656E-04, 7.8710E-04, 0.0000E+00
 1.0000E+01, 7.1628E-04, 7.4976E-06, 7.0878E-04, 0.0000E+00
 1.2000E+01, 5.9817E-04, 0.0000E+00, 5.9817E-04, 0.0000E+00
 1.4000E+01, 5.2213E-04, 0.0000E+00, 5.2213E-04, 0.0000E+00
 1.6000E+01, 4.8339E-04, 0.0000E+00, 4.8339E-04, 0.0000E+00
 1.8000E+01, 4.6007E-04, 0.0000E+00, 4.6007E-04, 0.0000E+00
 2.0000E+01, 4.3421E-04, 0.0000E+00, 4.3421E-04, 0.0000E+00
'End of File'
