'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:11:22'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.7186E+06, 1.6929E+06, 3.2162E+03, 2.2484E+04
 1.0000E-01, 9.2886E+05, 9.1598E+05, 1.9279E+03, 1.0954E+04
 2.0000E-01, 4.1759E+05, 4.1113E+05, 1.0312E+03, 5.4254E+03
 3.0000E-01, 2.3451E+05, 2.3011E+05, 6.6568E+02, 3.7347E+03
 4.0000E-01, 1.5155E+05, 1.4810E+05, 4.7737E+02, 2.9741E+03
 5.0000E-01, 1.0702E+05, 1.0412E+05, 3.6950E+02, 2.5304E+03
 6.0000E-01, 8.0834E+04, 7.8309E+04, 3.0186E+02, 2.2232E+03
 8.0000E-01, 5.3507E+04, 5.1457E+04, 2.2262E+02, 1.8274E+03
 1.0000E+00, 3.9346E+04, 3.7582E+04, 1.7809E+02, 1.5854E+03
 1.5000E+00, 2.2159E+04, 2.0757E+04, 1.1926E+02, 1.2818E+03
 2.0000E+00, 1.4082E+04, 1.2863E+04, 8.8725E+01, 1.1305E+03
 2.5000E+00, 9.3484E+03, 8.2495E+03, 6.9846E+01, 1.0290E+03
 3.0000E+00, 6.3432E+03, 5.3285E+03, 5.7451E+01, 9.5725E+02
 4.0000E+00, 3.1870E+03, 2.2780E+03, 4.2436E+01, 8.6657E+02
 5.0000E+00, 1.7844E+03, 9.5094E+02, 3.3709E+01, 7.9978E+02
 6.0000E+00, 1.1588E+03, 3.7495E+02, 2.8164E+01, 7.5569E+02
 7.0000E+00, 8.8272E+02, 1.4152E+02, 2.4351E+01, 7.1685E+02
 8.0000E+00, 7.5767E+02, 5.0411E+01, 2.1580E+01, 6.8568E+02
 9.0000E+00, 6.9410E+02, 1.6966E+01, 1.9533E+01, 6.5760E+02
 1.0000E+01, 6.5585E+02, 5.3849E+00, 1.7955E+01, 6.3251E+02
 1.2000E+01, 6.1113E+02, 4.0898E-01, 1.5652E+01, 5.9506E+02
 1.4000E+01, 5.6733E+02, 1.0079E-02, 1.4062E+01, 5.5326E+02
 1.6000E+01, 5.3402E+02, 7.7402E-05, 1.2867E+01, 5.2115E+02
 1.8000E+01, 5.0126E+02, 8.2813E-07, 1.1869E+01, 4.8939E+02
 2.0000E+01, 4.7298E+02, 0.0000E+00, 1.1025E+01, 4.6196E+02
'End of File'
