'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:00:13'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.9188E+06, 1.8980E+06, 3.5726E+03, 1.7231E+04
 1.0000E-01, 1.0219E+06, 1.0088E+06, 2.0542E+03, 1.1008E+04
 2.0000E-01, 4.0491E+05, 3.9700E+05, 9.7795E+02, 6.9329E+03
 3.0000E-01, 1.8533E+05, 1.7943E+05, 5.4795E+02, 5.3488E+03
 4.0000E-01, 9.3292E+04, 8.8407E+04, 3.4294E+02, 4.5425E+03
 5.0000E-01, 5.0193E+04, 4.5928E+04, 2.3502E+02, 4.0306E+03
 6.0000E-01, 2.9312E+04, 2.5476E+04, 1.7326E+02, 3.6632E+03
 8.0000E-01, 1.3965E+04, 1.0682E+04, 1.1056E+02, 3.1728E+03
 1.0000E+00, 8.8535E+03, 5.9166E+03, 8.1244E+01, 2.8557E+03
 1.5000E+00, 4.6415E+03, 2.1656E+03, 5.0765E+01, 2.4252E+03
 2.0000E+00, 3.3490E+03, 1.1219E+03, 3.7921E+01, 2.1892E+03
 2.5000E+00, 2.7286E+03, 6.7764E+02, 3.0614E+01, 2.0203E+03
 3.0000E+00, 2.3529E+03, 4.3089E+02, 2.5903E+01, 1.8961E+03
 4.0000E+00, 1.9336E+03, 1.7863E+02, 2.0030E+01, 1.7349E+03
 5.0000E+00, 1.6857E+03, 5.7250E+01, 1.6413E+01, 1.6120E+03
 6.0000E+00, 1.5551E+03, 1.1447E+01, 1.3944E+01, 1.5297E+03
 7.0000E+00, 1.4694E+03, 1.5865E+00, 1.2159E+01, 1.4557E+03
 8.0000E+00, 1.4067E+03, 1.8677E-01, 1.0806E+01, 1.3958E+03
 9.0000E+00, 1.3511E+03, 1.6151E-02, 9.7469E+00, 1.3414E+03
 1.0000E+01, 1.3015E+03, 1.6212E-03, 8.8929E+00, 1.2926E+03
 1.2000E+01, 1.2275E+03, 4.5371E-06, 7.5884E+00, 1.2199E+03
 1.4000E+01, 1.1439E+03, 1.3771E-08, 6.6314E+00, 1.1372E+03
 1.6000E+01, 1.0791E+03, 0.0000E+00, 5.8888E+00, 1.0732E+03
 1.8000E+01, 1.0143E+03, 0.0000E+00, 5.2770E+00, 1.0091E+03
 2.0000E+01, 9.5804E+02, 0.0000E+00, 4.7704E+00, 9.5327E+02
'End of File'
