'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:18:40'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 3.8535E+02, 7.5442E+01, 1.6150E-01, 3.0975E+02
 1.0000E-01, 3.4521E+02, 6.2034E+01, 1.3927E-01, 2.8303E+02
 2.0000E-01, 3.1609E+02, 4.7054E+01, 1.0606E-01, 2.6893E+02
 3.0000E-01, 2.9740E+02, 3.3612E+01, 7.9084E-02, 2.6371E+02
 4.0000E-01, 2.7734E+02, 2.3172E+01, 5.9885E-02, 2.5411E+02
 5.0000E-01, 2.5811E+02, 1.6043E+01, 4.7090E-02, 2.4202E+02
 6.0000E-01, 2.4300E+02, 1.1614E+01, 3.8427E-02, 2.3135E+02
 8.0000E-01, 2.2110E+02, 7.2350E+00, 2.7774E-02, 2.1384E+02
 1.0000E+00, 2.0316E+02, 5.1143E+00, 2.1832E-02, 1.9803E+02
 1.5000E+00, 1.6768E+02, 2.7076E+00, 1.4771E-02, 1.6496E+02
 2.0000E+00, 1.4268E+02, 1.7688E+00, 1.1443E-02, 1.4090E+02
 2.5000E+00, 1.2416E+02, 1.3093E+00, 9.4346E-03, 1.2284E+02
 3.0000E+00, 1.1035E+02, 1.0337E+00, 8.0583E-03, 1.0931E+02
 4.0000E+00, 9.1682E+01, 6.4100E-01, 6.2312E-03, 9.1034E+01
 5.0000E+00, 7.7976E+01, 3.5038E-01, 5.0559E-03, 7.7621E+01
 6.0000E+00, 6.9171E+01, 1.6040E-01, 4.2531E-03, 6.9007E+01
 7.0000E+00, 6.2126E+01, 5.1813E-02, 3.6720E-03, 6.2070E+01
 8.0000E+00, 5.6793E+01, 1.0612E-02, 3.2296E-03, 5.6779E+01
 9.0000E+00, 5.2139E+01, 4.0769E-04, 2.8950E-03, 5.2135E+01
 1.0000E+01, 4.8047E+01, 8.5609E-06, 2.6455E-03, 4.8045E+01
 1.2000E+01, 4.1721E+01, 0.0000E+00, 2.2856E-03, 4.1719E+01
 1.4000E+01, 3.5748E+01, 0.0000E+00, 2.0452E-03, 3.5746E+01
 1.6000E+01, 3.1550E+01, 0.0000E+00, 1.8866E-03, 3.1548E+01
 1.8000E+01, 2.8032E+01, 0.0000E+00, 1.7588E-03, 2.8030E+01
 2.0000E+01, 2.5301E+01, 0.0000E+00, 1.6416E-03, 2.5300E+01
'End of File'
