'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:01:36'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.9285E+06, 1.8883E+06, 3.5420E+03, 3.6703E+04
 1.0000E-01, 1.0023E+06, 9.8224E+05, 2.0195E+03, 1.8044E+04
 2.0000E-01, 3.9737E+05, 3.8757E+05, 9.7801E+02, 8.8217E+03
 3.0000E-01, 1.9295E+05, 1.8643E+05, 5.7279E+02, 5.9432E+03
 4.0000E-01, 1.0808E+05, 1.0305E+05, 3.7824E+02, 4.6547E+03
 5.0000E-01, 6.7015E+04, 6.2834E+04, 2.7374E+02, 3.9075E+03
 6.0000E-01, 4.5553E+04, 4.1948E+04, 2.1222E+02, 3.3932E+03
 8.0000E-01, 2.6797E+04, 2.3915E+04, 1.4636E+02, 2.7359E+03
 1.0000E+00, 1.8836E+04, 1.6384E+04, 1.1307E+02, 2.3388E+03
 1.5000E+00, 1.0470E+04, 8.5469E+03, 7.4076E+01, 1.8487E+03
 2.0000E+00, 6.9512E+03, 5.2854E+03, 5.5520E+01, 1.6103E+03
 2.5000E+00, 4.9355E+03, 3.4375E+03, 4.4344E+01, 1.4537E+03
 3.0000E+00, 3.6360E+03, 2.2545E+03, 3.7003E+01, 1.3445E+03
 4.0000E+00, 2.2222E+03, 9.8669E+02, 2.7939E+01, 1.2076E+03
 5.0000E+00, 1.5449E+03, 4.1393E+02, 2.2512E+01, 1.1085E+03
 6.0000E+00, 1.2257E+03, 1.6304E+02, 1.8943E+01, 1.0437E+03
 7.0000E+00, 1.0665E+03, 6.2336E+01, 1.6426E+01, 9.8777E+02
 8.0000E+00, 9.8076E+02, 2.2895E+01, 1.4559E+01, 9.4331E+02
 9.0000E+00, 9.2480E+02, 8.0262E+00, 1.3139E+01, 9.0363E+02
 1.0000E+01, 8.8302E+02, 2.6725E+00, 1.2021E+01, 8.6833E+02
 1.2000E+01, 8.2633E+02, 2.2347E-01, 1.0355E+01, 8.1575E+02
 1.4000E+01, 7.6652E+02, 6.0035E-03, 9.1728E+00, 7.5734E+02
 1.6000E+01, 7.2080E+02, 4.6074E-05, 8.2734E+00, 7.1253E+02
 1.8000E+01, 6.7575E+02, 5.0759E-07, 7.5311E+00, 6.6822E+02
 2.0000E+01, 6.3683E+02, 0.0000E+00, 6.9117E+00, 6.2992E+02
'End of File'
