'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 14:53:52'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 3.5749E+00, 3.5667E+00, 8.2134E-03, 0.0000E+00
 1.0000E-01, 3.2454E+00, 3.2375E+00, 7.8967E-03, 0.0000E+00
 2.0000E-01, 2.8472E+00, 2.8401E+00, 7.0903E-03, 0.0000E+00
 3.0000E-01, 2.3813E+00, 2.3751E+00, 6.1321E-03, 0.0000E+00
 4.0000E-01, 1.9448E+00, 1.9394E+00, 5.3140E-03, 0.0000E+00
 5.0000E-01, 1.5970E+00, 1.5923E+00, 4.7077E-03, 0.0000E+00
 6.0000E-01, 1.3493E+00, 1.3451E+00, 4.2625E-03, 0.0000E+00
 8.0000E-01, 1.0555E+00, 1.0518E+00, 3.6446E-03, 0.0000E+00
 1.0000E+00, 8.8089E-01, 8.7764E-01, 3.2508E-03, 0.0000E+00
 1.5000E+00, 6.3170E-01, 6.2890E-01, 2.8012E-03, 0.0000E+00
 2.0000E+00, 5.0528E-01, 5.0275E-01, 2.5315E-03, 0.0000E+00
 2.5000E+00, 4.3268E-01, 4.3036E-01, 2.3202E-03, 0.0000E+00
 3.0000E+00, 3.8358E-01, 3.8146E-01, 2.1183E-03, 0.0000E+00
 4.0000E+00, 2.9549E-01, 2.9375E-01, 1.7392E-03, 0.0000E+00
 5.0000E+00, 2.0154E-01, 2.0010E-01, 1.4449E-03, 0.0000E+00
 6.0000E+00, 1.1083E-01, 1.0961E-01, 1.2204E-03, 0.0000E+00
 7.0000E+00, 4.1404E-02, 4.0357E-02, 1.0471E-03, 0.0000E+00
 8.0000E+00, 9.9523E-03, 9.0450E-03, 9.0731E-04, 0.0000E+00
 9.0000E+00, 1.1520E-03, 3.5763E-04, 7.9434E-04, 0.0000E+00
 1.0000E+01, 7.2288E-04, 7.5197E-06, 7.1536E-04, 0.0000E+00
 1.2000E+01, 6.0373E-04, 0.0000E+00, 6.0373E-04, 0.0000E+00
 1.4000E+01, 5.2697E-04, 0.0000E+00, 5.2697E-04, 0.0000E+00
 1.6000E+01, 4.8794E-04, 0.0000E+00, 4.8794E-04, 0.0000E+00
 1.8000E+01, 4.6437E-04, 0.0000E+00, 4.6437E-04, 0.0000E+00
 2.0000E+01, 4.3825E-04, 0.0000E+00, 4.3825E-04, 0.0000E+00
'End of File'
