'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:15:34'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.4338E+06, 1.4244E+06, 2.7025E+03, 6.7528E+03
 1.0000E-01, 7.9036E+05, 7.8330E+05, 1.5964E+03, 5.4603E+03
 2.0000E-01, 3.2902E+05, 3.2379E+05, 7.8109E+02, 4.4489E+03
 3.0000E-01, 1.5440E+05, 1.4998E+05, 4.4283E+02, 3.9805E+03
 4.0000E-01, 7.8421E+04, 7.4492E+04, 2.7830E+02, 3.6506E+03
 5.0000E-01, 4.2330E+04, 3.8730E+04, 1.9088E+02, 3.4088E+03
 6.0000E-01, 2.4885E+04, 2.1518E+04, 1.4063E+02, 3.2263E+03
 8.0000E-01, 1.2251E+04, 9.2037E+03, 8.9501E+01, 2.9577E+03
 1.0000E+00, 8.0613E+03, 5.2175E+03, 6.5605E+01, 2.7781E+03
 1.5000E+00, 4.5051E+03, 1.9575E+03, 4.0841E+01, 2.5068E+03
 2.0000E+00, 3.3638E+03, 1.0151E+03, 3.0456E+01, 2.3182E+03
 2.5000E+00, 2.8141E+03, 6.1067E+02, 2.4564E+01, 2.1788E+03
 3.0000E+00, 2.4803E+03, 3.8781E+02, 2.0775E+01, 2.0717E+03
 4.0000E+00, 2.0979E+03, 1.6163E+02, 1.6065E+01, 1.9202E+03
 5.0000E+00, 1.8765E+03, 5.2332E+01, 1.3163E+01, 1.8110E+03
 6.0000E+00, 1.7562E+03, 1.0620E+01, 1.1185E+01, 1.7344E+03
 7.0000E+00, 1.6696E+03, 1.4606E+00, 9.7585E+00, 1.6584E+03
 8.0000E+00, 1.5998E+03, 1.5461E-01, 8.6793E+00, 1.5910E+03
 9.0000E+00, 1.5446E+03, 9.2133E-03, 7.8368E+00, 1.5368E+03
 1.0000E+01, 1.4859E+03, 2.3068E-04, 7.1580E+00, 1.4788E+03
 1.2000E+01, 1.3954E+03, 1.2799E-07, 6.1216E+00, 1.3893E+03
 1.4000E+01, 1.3079E+03, 0.0000E+00, 5.3614E+00, 1.3025E+03
 1.6000E+01, 1.2329E+03, 0.0000E+00, 4.7706E+00, 1.2282E+03
 1.8000E+01, 1.1701E+03, 0.0000E+00, 4.2820E+00, 1.1659E+03
 2.0000E+01, 1.1050E+03, 0.0000E+00, 3.8765E+00, 1.1012E+03
'End of File'
