'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.11.3477          - 17-Jan-2023 15:04:25'
'PRJ_DEF', -1,'LEO-RAD'
'PRJ_HDR', -1,'LEO Radiation for Edge Computing'
'MOD_ABB', -1,'SH2'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26663.00000000,' '
'MIS_END',  1,  28488.00000000,' '
'MIS_DUR',  1, 1.825000E+03,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'4pi Dose at Centre of Al Spheres'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/01/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/12/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 1825.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Aluminium Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.6929E+06, 1.6693E+06, 3.1759E+03, 2.0392E+04
 1.0000E-01, 9.1936E+05, 9.0740E+05, 1.9137E+03, 1.0045E+04
 2.0000E-01, 4.1831E+05, 4.1225E+05, 1.0327E+03, 5.0289E+03
 3.0000E-01, 2.3746E+05, 2.3330E+05, 6.7133E+02, 3.4825E+03
 4.0000E-01, 1.5471E+05, 1.5145E+05, 4.8371E+02, 2.7835E+03
 5.0000E-01, 1.0987E+05, 1.0712E+05, 3.7555E+02, 2.3743E+03
 6.0000E-01, 8.3243E+04, 8.0845E+04, 3.0736E+02, 2.0905E+03
 8.0000E-01, 5.5124E+04, 5.3173E+04, 2.2689E+02, 1.7242E+03
 1.0000E+00, 4.0433E+04, 3.8752E+04, 1.8140E+02, 1.4996E+03
 1.5000E+00, 2.2593E+04, 2.1256E+04, 1.2111E+02, 1.2166E+03
 2.0000E+00, 1.4245E+04, 1.3080E+04, 8.9859E+01, 1.0747E+03
 2.5000E+00, 9.3921E+03, 8.3424E+03, 7.0613E+01, 9.7907E+02
 3.0000E+00, 6.3385E+03, 5.3692E+03, 5.8022E+01, 9.1130E+02
 4.0000E+00, 3.1518E+03, 2.2835E+03, 4.2823E+01, 8.2551E+02
 5.0000E+00, 1.7488E+03, 9.5252E+02, 3.4015E+01, 7.6222E+02
 6.0000E+00, 1.1262E+03, 3.7733E+02, 2.8431E+01, 7.2040E+02
 7.0000E+00, 8.5148E+02, 1.4337E+02, 2.4594E+01, 6.8352E+02
 8.0000E+00, 7.2719E+02, 5.1498E+01, 2.1805E+01, 6.5389E+02
 9.0000E+00, 6.6443E+02, 1.7504E+01, 1.9746E+01, 6.2718E+02
 1.0000E+01, 6.2708E+02, 5.6220E+00, 1.8159E+01, 6.0330E+02
 1.2000E+01, 5.8393E+02, 4.4382E-01, 1.5840E+01, 5.6764E+02
 1.4000E+01, 5.4207E+02, 1.1463E-02, 1.4238E+01, 5.2782E+02
 1.6000E+01, 5.1026E+02, 8.7985E-05, 1.3034E+01, 4.9722E+02
 1.8000E+01, 4.7900E+02, 9.5619E-07, 1.2026E+01, 4.6698E+02
 2.0000E+01, 4.5202E+02, 0.0000E+00, 1.1173E+01, 4.4085E+02
'End of File'
